Name,Category,Tags,Link,Learned,Reinforced,Video Solution
Two Sum,Arrays,,https://leetcode.com/problems/two-sum/,,,https://youtu.be/KLlXCFG5TnA
Best Time to Buy and Sell Stock,Arrays,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,,,https://youtu.be/1pkOgXD63yU
Contains Duplicate,Arrays,,https://leetcode.com/problems/contains-duplicate/,,,https://youtu.be/3OamzN90kPg
Product of Array Except Self,Arrays,,https://leetcode.com/problems/product-of-array-except-self/,"Sequential Loops Do Not Multiply Complexities. Complexities multiply only when you have nested loops i.e. O(n) \times O(n) = O(n^2)
- when dealing with multiplicatives of int elements, namely for Two-Pass Algo solutions, prefilling array's with a neutral of int 1 (Array({length}.fill(1)) gives crazy flexibility and also protects from having to worry about uninitialized values. ",,https://youtu.be/bNvIQI2wAjk
Maximum Subarray,Arrays,,https://leetcode.com/problems/maximum-subarray/,,,https://youtu.be/5WZl3MMT0Eg
Maximum Product Subarray,Arrays,,https://leetcode.com/problems/maximum-product-subarray/,,,https://youtu.be/lXVy6YWFcRM
Find Minimum in Rotated Sorted Array,Arrays,,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,,,https://youtu.be/nIVW4P8b1VA
Search in Rotated Sorted Array,Arrays,,https://leetcode.com/problems/search-in-rotated-sorted-array/,,,https://youtu.be/U8XENwh8Oy8
3Sum,Arrays,,https://leetcode.com/problems/3sum/,,,https://youtu.be/jzZsG8n2R9A
Container With Most Water,Arrays,,https://leetcode.com/problems/container-with-most-water/,,,https://youtu.be/UuiTKBwPgAo
Sum of Two Integers,Binary,,https://leetcode.com/problems/sum-of-two-integers/,,,https://youtu.be/gVUrDV4tZfY
Number of 1 Bits,Binary,,https://leetcode.com/problems/number-of-1-bits/,,,https://youtu.be/5Km3utixwZs
Counting Bits,Binary,,https://leetcode.com/problems/counting-bits/,,,https://youtu.be/RyBM56RIWrM
Missing Number,Binary,,https://leetcode.com/problems/missing-number/,,,https://youtu.be/WnPLSRLSANE
Reverse Bits,Binary,,https://leetcode.com/problems/reverse-bits/,,,https://youtu.be/UcoN6UjAI64
Climbing Stairs,Dynamic Programming,,https://leetcode.com/problems/climbing-stairs/,,,https://youtu.be/Y0lT9Fck7qI
Coin Change,Dynamic Programming,,https://leetcode.com/problems/coin-change/,,,https://youtu.be/H9bfqozjoqs
Longest Increasing Subsequence,Dynamic Programming,,https://leetcode.com/problems/longest-increasing-subsequence/,,,https://youtu.be/cjWnW0hdF1Y
Longest Common Subsequence,Dynamic Programming,,https://leetcode.com/problems/longest-common-subsequence/,,,https://youtu.be/Ua0GhsJSlWM
Word Break Problem,Dynamic Programming,,https://leetcode.com/problems/word-break/,,,https://youtu.be/Sx9NNgInc3A
Combination Sum,Dynamic Programming,,https://leetcode.com/problems/combination-sum/,,,https://youtu.be/GBKI9VSKdGg
House Robber,Dynamic Programming,,https://leetcode.com/problems/house-robber/,,,https://youtu.be/73r3KWiEvyk
,Dynamic Programming,,https://leetcode.com/problems/house-robber-ii/,,,https://youtu.be/rWAJCfYYOvM
Decode Ways,Dynamic Programming,,https://leetcode.com/problems/decode-ways/,,,https://youtu.be/6aEyTjOwlJU
Unique Paths,Dynamic Programming,,https://leetcode.com/problems/unique-paths/,,,https://youtu.be/IlEsdxuD4lY
Jump Game,Dynamic Programming,,https://leetcode.com/problems/jump-game/,,,https://youtu.be/Yan0cv2cLy8
Clone Graph,Graph,,https://leetcode.com/problems/clone-graph/,,,https://youtu.be/mQeF6bN8hMk
Course Schedule,Graph,,https://leetcode.com/problems/course-schedule/,,,https://youtu.be/EgI5nU9etnU
Pacific Atlantic Water Flow,Graph,,https://leetcode.com/problems/pacific-atlantic-water-flow/,,,https://youtu.be/s-VkcjHqkGI
Number of Islands,Graph,,https://leetcode.com/problems/number-of-islands/,,,https://youtu.be/pV2kpPD66nE
Longest Consecutive Sequence,Graph,,https://leetcode.com/problems/longest-consecutive-sequence/,,,https://youtu.be/P6RZZMu_maU
Alien Dictionary (Leetcode Premium),Graph,,https://leetcode.com/problems/alien-dictionary/,,,https://youtu.be/6kTZYvNNyps
Graph Valid Tree (Leetcode Premium),Graph,,https://leetcode.com/problems/graph-valid-tree/,,,https://youtu.be/bXsUuownnoQ
Number of Connected Components in an Undirected Graph (Leetcode Premium),Graph,,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,,,https://youtu.be/8f1XPm4WOUc
Insert Interval,Interval,,https://leetcode.com/problems/insert-interval/,,,https://youtu.be/A8NUOmlwOlM
Merge Intervals,Interval,,https://leetcode.com/problems/merge-intervals/,,,https://youtu.be/44H3cEC2fFM
Non-overlapping Intervals,Interval,,https://leetcode.com/problems/non-overlapping-intervals/,,,https://youtu.be/nONCGxWoUfM
Meeting Rooms (Leetcode Premium),Interval,,https://leetcode.com/problems/meeting-rooms/,,,https://youtu.be/PaJxqZVPhbg
Meeting Rooms II (Leetcode Premium),Interval,,https://leetcode.com/problems/meeting-rooms-ii/,,,https://youtu.be/FdzJmTCVyJU
Reverse a Linked List,Linked List,"Node traversal, Recursion, Two Pointers",https://leetcode.com/problems/reverse-linked-list/,"Super basic node traversal. ",Leveraging temp variables when reversing a linear traversal,https://youtu.be/G0_I-ZF0S38
Detect Cycle in a Linked List,Linked List,,https://leetcode.com/problems/linked-list-cycle/,,,https://youtu.be/gBTe7lFR3vc
Merge Two Sorted Lists,Linked List,,https://leetcode.com/problems/merge-two-sorted-lists/,,,https://youtu.be/XIdigk956u0
Merge K Sorted Lists,Linked List,,https://leetcode.com/problems/merge-k-sorted-lists/,,,https://youtu.be/q5a5OiGbT6Q
Remove Nth Node From End Of List,Linked List,,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,,,https://youtu.be/XVuQxVej6y8
Reorder List,Linked List,,https://leetcode.com/problems/reorder-list/,,,https://youtu.be/S5bfdUTrKLM
